agent_name,rule_id,rule_description,rule_level,raw_count,unlabeled_count,labeled_overlap_count
safesoc-lnx-01,23505,CVE-2016-2568 affects libpolkit-gobject-1-0,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9543 affects libpoppler-cpp0t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9545 affects libpoppler-cpp0t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9543 affects libpoppler-glib8t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9545 affects libpoppler-glib8t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9543 affects libpoppler134,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9545 affects libpoppler134,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-6409 affects libprotobuf32t64 (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2025-13462 affects libpython3.12-minimal (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2026-2297 affects libpython3.12-minimal (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2025-13462 affects libpython3.12-stdlib (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2026-2297 affects libpython3.12-stdlib (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2025-13462 affects libpython3.12t64 (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2026-2297 affects libpython3.12t64 (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects libsmartcols1,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-9901 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-4035 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23505,CVE-2025-14523 affects libsoup-3.0-0,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-0716 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23503,CVE-2026-3633 affects libsoup-3.0-0,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3632 affects libsoup-3.0-0,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3634 affects libsoup-3.0-0,5,1,1,0
safesoc-lnx-01,23505,CVE-2025-32049 affects libsoup-3.0-0,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-3099 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-0719 affects libsoup-3.0-0,10,1,1,0
safesoc-lnx-01,23504,CVE-2025-9901 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-4035 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23505,CVE-2025-14523 affects libsoup-3.0-common,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-0716 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23503,CVE-2026-3633 affects libsoup-3.0-common,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3632 affects libsoup-3.0-common,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3634 affects libsoup-3.0-common,5,1,1,0
safesoc-lnx-01,23505,CVE-2025-32049 affects libsoup-3.0-common,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-3099 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-0719 affects libsoup-3.0-common,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects libuuid1,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects libwebkit2gtk-4.1-0,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects libwebkitgtk-6.0-4,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27951 affects libwinpr3-3,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-10911 affects libxslt1.1,7,1,1,0
safesoc-lnx-01,23505,CVE-2025-7425 affects libxslt1.1,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-31470 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-31464 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-31461 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-31455 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-31454 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-23442 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-23461 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-31452 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-23289 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-31440 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-31441 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23508,"CVE-2025-40362 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23505,CVE-2026-31695 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23506,CVE-2026-31436 affects linux-image-6.17.0-23-generic,13,1,0,1
safesoc-lnx-01,23505,CVE-2026-31431 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-23419 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31434 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-23144 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-31662 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-31432 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31429 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31428 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2025-40012 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23505,CVE-2024-25743 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31423 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23505,CVE-2026-23390 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23505,CVE-2024-46833 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31422 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2025-71292 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31420 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31416 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-31512 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-43016 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31415 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2024-58095 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23506,CVE-2026-31414 affects linux-image-6.17.0-23-generic,13,1,0,1
safesoc-lnx-01,23508,"CVE-2026-23176 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31410 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-23401 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31400 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23505,CVE-2026-31396 affects linux-image-6.17.0-23-generic,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31394 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2025-71223 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23508,"CVE-2026-31391 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-23230 affects linux-image-6.17.0-23-generic,7,1,1,0
safesoc-lnx-01,23508,"CVE-2026-23469 affects linux-image-6.17.0-23-generic (Missing information, CVE awaiting analysis)",3,1,1,0
