timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 14:00:56.669",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:56.639",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:56.546",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:56.514",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:56.456",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:56.454",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.569",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:52.554",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:52.538",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.445",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:52.428",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.351",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:52.334",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.280",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:52.276",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.428",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:48.397",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:48.365",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.273",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:48.242",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.162",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:48.133",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.058",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:48.057",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:44.210",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:44.180",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:44.147",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:44.068",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:44.038",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:43.964",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:43.963",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:43.884",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:43.854",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.963",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:39.932",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:39.903",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.810",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:39.777",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.700",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:39.668",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.639",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:39.637",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.816",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:35.787",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:35.755",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.661",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:35.629",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.538",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:35.506",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.423",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:35.419",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:31.624",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:31.594",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:31.561",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
