timestamp,agent_name,run_id,rule_id,rule_level,rule_description,full_log
2026-05-14T23:36:20.610-0400,safesoc-lnx-01,GAP-LNX-001-SIM-R001,100781,8,SafeAgentSOC simulated-only high-risk gap completed,2026-05-14T23:36:19.449167-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-001-SIM-R001 technique=shadow_dump status=simulated_only host=safesoc-lnx-01
2026-05-14T23:36:21.206-0400,safesoc-lnx-01,GAP-LNX-001-SIM-R001,100780,8,SafeAgentSOC simulated-only high-risk gap started,May 15 03:36:19 safesoc-lnx-01 safesoc-lnx-01[12624]: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-001-SIM-R001 technique=shadow_dump concept=credential_material_access host=safesoc-lnx-01
2026-05-14T23:36:21.206-0400,safesoc-lnx-01,GAP-LNX-001-SIM-R001,100781,8,SafeAgentSOC simulated-only high-risk gap completed,May 15 03:36:19 safesoc-lnx-01 safesoc-lnx-01[12630]: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-001-SIM-R001 technique=shadow_dump status=simulated_only host=safesoc-lnx-01
2026-05-14T23:37:30.627-0400,safesoc-lnx-01,GAP-LNX-T1070-002-SIM-R001,100783,10,SafeAgentSOC simulated Linux log clearing gap marker,2026-05-14T23:37:30.096155-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-T1070-002-SIM-R001 technique=T1070.002 status=simulated_only_dummy_log_only host=safesoc-lnx-01
2026-05-14T23:37:30.627-0400,safesoc-lnx-01,GAP-LNX-T1070-002-SIM-R001,100783,10,SafeAgentSOC simulated Linux log clearing gap marker,2026-05-14T23:37:30.084529-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-T1070-002-SIM-R001 technique=T1070.002 concept=clear_linux_logs_simulated host=safesoc-lnx-01
2026-05-14T23:37:31.230-0400,safesoc-lnx-01,GAP-LNX-T1070-002-SIM-R001,100783,10,SafeAgentSOC simulated Linux log clearing gap marker,May 15 03:37:30 safesoc-lnx-01 safesoc-lnx-01[12655]: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-T1070-002-SIM-R001 technique=T1070.002 status=simulated_only_dummy_log_only host=safesoc-lnx-01
2026-05-14T23:37:31.230-0400,safesoc-lnx-01,GAP-LNX-T1070-002-SIM-R001,100783,10,SafeAgentSOC simulated Linux log clearing gap marker,May 15 03:37:30 safesoc-lnx-01 safesoc-lnx-01[12648]: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-T1070-002-SIM-R001 technique=T1070.002 concept=clear_linux_logs_simulated host=safesoc-lnx-01
2026-05-14T23:38:53.261-0400,safesoc-lnx-01,GAP-LNX-T1562-001-SIM-R001,100784,10,SafeAgentSOC simulated defense impairment gap marker,May 15 03:38:53 safesoc-lnx-01 safesoc-lnx-01[12663]: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-T1562-001-SIM-R001 technique=T1562.001 concept=defense_impairment_simulated host=safesoc-lnx-01
2026-05-14T23:38:53.261-0400,safesoc-lnx-01,GAP-LNX-T1562-001-SIM-R001,100784,10,SafeAgentSOC simulated defense impairment gap marker,May 15 03:38:53 safesoc-lnx-01 safesoc-lnx-01[12672]: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-T1562-001-SIM-R001 technique=T1562.001 status=simulated_only_no_services_changed host=safesoc-lnx-01
2026-05-14T23:38:53.264-0400,safesoc-lnx-01,GAP-LNX-T1562-001-SIM-R001,100784,10,SafeAgentSOC simulated defense impairment gap marker,2026-05-14T23:38:53.149185-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-T1562-001-SIM-R001 technique=T1562.001 concept=defense_impairment_simulated host=safesoc-lnx-01
2026-05-14T23:38:53.266-0400,safesoc-lnx-01,GAP-LNX-T1562-001-SIM-R001,100784,10,SafeAgentSOC simulated defense impairment gap marker,2026-05-14T23:38:53.173672-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-T1562-001-SIM-R001 technique=T1562.001 status=simulated_only_no_services_changed host=safesoc-lnx-01
