timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 12:30:40.063",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 12:29:49.336",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 12:29:19.536",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 12:28:14.526",safesoc-win-01,Sysmon - Suspicious Process - explorer.exe,12,61640
"May 14, 2026 @ 12:28:13.441",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 12:25:50.222",safesoc-win-01,Non service account logged off.,3,67023
"May 14, 2026 @ 12:25:50.192",safesoc-win-01,Non service account logged off.,3,67023
"May 14, 2026 @ 12:25:50.173",safesoc-win-01,Special privileges assigned to new logon.,3,67028
"May 14, 2026 @ 12:25:50.172",safesoc-win-01,Windows Workstation Logon Success,3,60118
"May 14, 2026 @ 12:25:50.170",safesoc-win-01,Windows Workstation Logon Success,3,60118
"May 14, 2026 @ 12:23:45.857",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 12:23:31.501",safesoc-win-01,Discovery activity executed,3,92031
