field,present_count,present_percent,missing_count,missing_percent
data.win.eventdata.p4,4,0.06,6889,99.94
data.win.eventdata.storePath,4,0.06,6889,99.94
data.win.eventdata.rechecking,4,0.06,6889,99.94
data.win.eventdata.reportId,4,0.06,6889,99.94
data.win.eventdata.reportStatus,4,0.06,6889,99.94
data.win.eventdata.cabGuid,4,0.06,6889,99.94
data.win.eventdata.serviceName,4,0.06,6889,99.94
data.win.eventdata.imagePath,4,0.06,6889,99.94
data.win.eventdata.serviceType,4,0.06,6889,99.94
data.win.eventdata.startType,4,0.06,6889,99.94
data.audit.directory.name,3,0.04,6890,99.96
data.win.eventdata.errorCode,3,0.04,6890,99.96
data.win.eventdata.attachedFiles,3,0.04,6890,99.96
data.win.eventdata.status,3,0.04,6890,99.96
data.win.eventdata.failureReason,3,0.04,6890,99.96
data.win.eventdata.subStatus,3,0.04,6890,99.96
data.win.eventdata.binary,3,0.04,6890,99.96
rule.frequency,3,0.04,6890,99.96
data.audit.inode,2,0.03,6891,99.97
data.audit.mode,2,0.03,6891,99.97
data.win.eventdata.p5,2,0.03,6891,99.97
data.win.eventdata.p6,2,0.03,6891,99.97
data.win.eventdata.bucket,2,0.03,6891,99.97
data.win.eventdata.hashedBucket,2,0.03,6891,99.97
data.win.eventdata.remediation User,2,0.03,6891,99.97
data.sca.check.compliance.pci_dss_3.2.1,2,0.03,6891,99.97
data.sca.check.compliance.pci_dss_4.0,2,0.03,6891,99.97
data.win.eventdata.accountName,2,0.03,6891,99.97
data.win.eventdata.context,2,0.03,6891,99.97
data.win.eventdata.url,2,0.03,6891,99.97
data.win.eventdata.messageText,2,0.03,6891,99.97
data.win.eventdata.method,2,0.03,6891,99.97
data.win.eventdata.stage,2,0.03,6891,99.97
data.win.eventdata.updateTitle,1,0.01,6892,99.99
data.win.eventdata.updateGuid,1,0.01,6892,99.99
data.win.eventdata.updateRevisionNumber,1,0.01,6892,99.99
data.win.eventdata.serviceGuid,1,0.01,6892,99.99
data.win.eventdata.previousTime,1,0.01,6892,99.99
data.win.eventdata.newTime,1,0.01,6892,99.99
data.win.eventdata.old Value,1,0.01,6892,99.99
data.win.eventdata.new Value,1,0.01,6892,99.99
data.win.eventdata.param5,1,0.01,6892,99.99
data.win.eventdata.param7,1,0.01,6892,99.99
data.audit.execve.a2,1,0.01,6892,99.99
data.win.eventdata.extraInfo,1,0.01,6892,99.99
