field,type,count,percent
rule.nist_sp_800-53[],string,553,8.02
rule.pci_dss,array,6255,90.74
rule.pci_dss[],string,6255,90.74
rule.soc_2,array,803,11.65
rule.soc_2[],string,803,11.65
rule.tsc,array,6255,90.74
rule.tsc[],string,6255,90.74
syscheck.arch,string,56,0.81
syscheck.changed_attributes,array,528,7.66
syscheck.changed_attributes[],string,528,7.66
syscheck.event,string,604,8.76
syscheck.gid_after,string,576,8.36
syscheck.gid_before,string,6,0.09
syscheck.gname_after,string,575,8.34
syscheck.inode_after,integer,548,7.95
syscheck.inode_before,integer,472,6.85
syscheck.md5_after,string,576,8.36
syscheck.md5_before,string,378,5.48
syscheck.mode,string,604,8.76
syscheck.mtime_after,string,576,8.36
syscheck.mtime_before,string,497,7.21
syscheck.path,string,604,8.76
syscheck.perm_after,string,548,7.95
syscheck.sha1_after,string,576,8.36
syscheck.sha1_before,string,378,5.48
syscheck.sha256_after,string,576,8.36
syscheck.sha256_before,string,378,5.48
syscheck.size_after,string,576,8.36
syscheck.size_before,string,29,0.42
syscheck.uid_after,string,576,8.36
syscheck.uname_after,string,576,8.36
syscheck.value_name,string,28,0.41
syscheck.value_type,string,28,0.41
syscheck.win_perm_after,array,28,0.41
syscheck.win_perm_after[].allowed,array,28,0.41
syscheck.win_perm_after[].allowed[],string,28,0.41
syscheck.win_perm_after[].name,string,28,0.41
timestamp,string,6893,100.00
